Block,AccInc,AccTemp,ZspCountGoPro,StartingQuantityZsp,AvgHOBOTemp,CurrentAccTemp,StartTemp,CurrentHOBOTemp,StartTime,50Temp,50Time,100Temp,100Time,Observer,Partner,DateObserved,DateInoculated,DateAcclimated,RoomTemp,MinutesTo50,MinutesTo100,HeatingRateTo100PerMinute,InitialPercentMoving,Tryptone,Agar,Notes
E,6,16.5,,400,16.72253333,16.6,21.1,,14:31,28.7,14:33,33.6,14:43,Vanessa Six,Hunter Craig,6/8/2023,6/1/2023,6/5/2023,24,2.00,12.00,1.041666667,0.98,New,New,Temp plateaued at 33.6
E,6,16.5,,500,16.72253,16.5,21.4,,14:52,28.7,14:54,31.7,14:56,Vanessa Six,Hunter Craig,6/8/2023,5/29/2023,6/5/2023,24,2.00,4.00,2.575,0.93,New,New,
E,5,24,,200,24.09011,23.9,21.7,,15:13,25.2,15:15,33.5,15:21,Vanessa Six,Hunter Craig,6/8/2023,6/1/2023,6/5/2023,24,2.00,8.00,1.475,0.9,New,New,
F,3,9,43,150,8.636524,8.1,22.6,,11:18,25.5,11:19,29.9,11:21,Declan McCrary,Hunter Craig,6/12/2023,6/5/2023,6/9/2023,25.9,1.00,3.00,2.433333333,0.75,New,New,
F,2,16.5,,100,16.20348,15.6,22.6,16.427,11:38,25.3,11:40,27.1,11:41,Declan McCrary,Hunter Craig,6/12/2023,6/2/2023,6/9/2023,25.9,2.00,3.00,1.5,0.6,New,New,
F,6,16.5,124,400,18.12466,16.6,24.3,,11:54,30.4,11:58,35,12:07,Declan McCrary,Hunter Craig,6/12/2023,6/5/2023,6/9/2023,25.9,4.00,13.00,0.823076923,0.9,New,New,
F,4,9,43,100,9.838366,8,21.6,,12:10,32,12:13,35.3,12:16,Declan McCrary,Hunter Craig,6/12/2023,6/5/2023,6/9/2023,25.9,3.00,6.00,2.283333333,0.9,New,New,
F,2,16.5,93,200,16.21416,15.9,23.5,16.903,12:32,27,12:34,30.3,12:35,Declan McCrary,Hunter Craig,6/12/2023,6/5/2023,6/9/2023,25.9,2.00,3.00,2.266666667,0.95,New,New,
F,4,9,138,200,9.843932,10.8,21.4,,12:46,26.8,12:48,33.2,12:52,Declan McCrary,Hunter Craig,6/12/2023,6/2/2023,6/9/2023,25.9,2.00,6.00,1.966666667,0.6,New,New,
G,4,9,51,150,8.992083,9.7,21,,11:49,25.1,11:51,33.2,11:57,Vanessa Six,Hunter Craig,6/15/2023,6/8/2023,6/12/2023,23.4,2.00,8.00,1.525,0.92,New,New,
G,1,24,62,200,25.08828,24.6,23,24.931,12:12,26.1,12:14,33.4,12:26,Vanessa Six,Hunter Craig,6/15/2023,6/8/2023,6/12/2023,23.4,2.00,14.00,0.742857143,0.93,New,New,
